Record,Date,UTC Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
        29, 1/01/2012, 0:08:41,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        30, 1/01/2012, 0:08:42,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        31, 1/01/2012, 0:08:43,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        32, 1/01/2012, 0:08:44,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        33, 1/01/2012, 0:08:45,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        34, 1/01/2012, 0:08:46,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        35, 1/01/2012, 0:08:47,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        36, 1/01/2012, 0:08:48,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        37, 1/01/2012, 0:08:49,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
        38, 1/01/2012, 0:08:50,     1,   7.800000E+00,"Peteris"                                                                                                                                                                                                                                                       ,"Egle"                                                                                                                                                                                                                                                          ,"Parasta"                                                                                                                                                                                                                                                       ,"EGPR01"                                                                                                                                                                                                                                                        ,    10,  -2.000000E-01,    10,   8.400000E+00,    10,    10,   1.230000E+01,    10,   1.240000E+01,    10,    10,    10,  -2.000000E-01,    10,  -2.000000E-01,    10,    10,   6.400000E+01,   7.200000E+01
