Record,Date,UTC Time,
     50355,12/04/2021, 6:40:11,   1.160000E+02
     50356,12/04/2021, 6:40:21,   1.210000E+02
     50357,12/04/2021, 6:40:31,   1.260000E+02
     50358,12/04/2021, 6:40:41,   1.310000E+02
     50359,12/04/2021, 6:40:51,   1.360000E+02
     50360,12/04/2021, 6:41:01,   1.410000E+02
     50361,12/04/2021, 6:41:11,   1.460000E+02
     50362,12/04/2021, 6:41:21,   1.510000E+02
     50363,12/04/2021, 6:41:31,   1.560000E+02
     50364,12/04/2021, 6:41:41,   1.610000E+02
     50365,12/04/2021, 6:41:51,   1.660000E+02
     50366,12/04/2021, 6:42:01,   1.710000E+02
     50367,12/04/2021, 6:42:11,   1.760000E+02
     50368,12/04/2021, 6:42:21,   1.810000E+02
     50369,12/04/2021, 6:42:31,   1.860000E+02
     50370,12/04/2021, 6:42:41,   1.910000E+02
     50371,12/04/2021, 6:42:51,   1.960000E+02
     50372,12/04/2021, 6:43:01,   0.000000E+00
     50373,12/04/2021, 6:43:11,   5.000000E+00
     50374,12/04/2021, 6:43:21,   1.000000E+01
     50375,12/04/2021, 6:43:31,   1.500000E+01
     50376,12/04/2021, 6:43:41,   2.000000E+01
     50377,12/04/2021, 6:43:51,   2.500000E+01
     50378,12/04/2021, 6:44:01,   3.000000E+01
     50379,12/04/2021, 6:44:11,   3.500000E+01
     50380,12/04/2021, 6:44:21,   4.000000E+01
     50381,12/04/2021, 6:44:31,   4.500000E+01
     50382,12/04/2021, 6:44:41,   5.000000E+01
     50383,12/04/2021, 6:44:51,   5.500000E+01
     50384,12/04/2021, 6:45:01,   6.000000E+01
     50385,12/04/2021, 6:45:11,   6.500000E+01
     50386,12/04/2021, 6:45:21,   7.000000E+01
     50387,12/04/2021, 6:45:31,   7.500000E+01
     50388,12/04/2021, 6:45:41,   8.000000E+01
     50389,12/04/2021, 6:45:51,   8.500000E+01
     50390,12/04/2021, 6:46:01,   9.000000E+01
     50391,12/04/2021, 6:46:11,   9.500000E+01
     50392,12/04/2021, 6:46:21,   1.000000E+02
     50393,12/04/2021, 6:46:31,   1.050000E+02
     50394,12/04/2021, 6:46:41,   1.100000E+02
     50395,12/04/2021, 6:46:51,   1.150000E+02
     50396,12/04/2021, 6:47:01,   1.200000E+02
     50397,12/04/2021, 6:47:11,   1.250000E+02
     50398,12/04/2021, 6:47:21,   1.300000E+02
     50399,12/04/2021, 6:47:31,   1.350000E+02
     50400,12/04/2021, 6:47:41,   1.400000E+02
     50401,12/04/2021, 8:47:52,   1.270000E+02
     50402,12/04/2021, 8:48:02,   1.320000E+02
     50403,12/04/2021, 8:48:12,   1.370000E+02
     50404,12/04/2021, 8:48:22,   1.420000E+02
     50405,12/04/2021, 8:48:32,   1.470000E+02
     50406,12/04/2021, 8:48:42,   1.520000E+02
     50407,12/04/2021, 8:48:52,   1.570000E+02
     50408,12/04/2021, 8:49:02,   1.620000E+02
     50409,12/04/2021, 8:49:12,   1.670000E+02
     50410,12/04/2021, 8:49:22,   1.720000E+02
     50411,12/04/2021, 8:49:32,   1.770000E+02
     50412,12/04/2021, 8:49:42,   1.820000E+02
     50413,12/04/2021, 8:49:52,   1.870000E+02
     50414,12/04/2021, 8:50:02,   1.920000E+02
     50415,12/04/2021, 8:50:12,   1.970000E+02
     50416,12/04/2021, 8:50:22,   1.000000E+00
     50417,12/04/2021, 8:50:32,   6.000000E+00
     50418,12/04/2021, 8:50:42,   1.100000E+01
     50419,12/04/2021, 8:50:52,   1.600000E+01
     50420,12/04/2021, 8:51:02,   2.100000E+01
     50421,12/04/2021, 8:51:12,   2.600000E+01
     50422,12/04/2021, 8:51:22,   3.100000E+01
     50423,12/04/2021, 8:51:32,   3.600000E+01
     50424,12/04/2021, 8:51:42,   4.100000E+01
     50425,12/04/2021, 8:51:52,   4.600000E+01
     50426,12/04/2021, 8:52:02,   5.100000E+01
     50427,12/04/2021, 8:52:12,   5.600000E+01
     50428,12/04/2021, 8:52:22,   6.100000E+01
     50429,12/04/2021, 8:52:32,   6.600000E+01
     50430,12/04/2021, 8:52:42,   7.100000E+01
     50431,12/04/2021, 8:52:52,   7.600000E+01
     50432,12/04/2021, 8:53:02,   8.100000E+01
     50433,12/04/2021, 8:53:12,   8.600000E+01
     50434,12/04/2021, 8:53:22,   9.100000E+01
     50435,12/04/2021, 8:53:32,   9.600000E+01
     50436,12/04/2021, 8:53:42,   1.010000E+02
     50437,12/04/2021, 8:53:52,   1.060000E+02
     50438,12/04/2021, 8:54:02,   1.110000E+02
     50439,12/04/2021, 8:54:12,   1.160000E+02
     50440,12/04/2021, 8:54:22,   1.210000E+02
     50441,12/04/2021, 8:54:32,   1.260000E+02
     50442,12/04/2021, 8:54:42,   1.310000E+02
     50443,12/04/2021, 8:54:52,   1.360000E+02
     50444,12/04/2021, 8:55:02,   1.410000E+02
     50445,12/04/2021, 8:55:12,   1.460000E+02
     50446,12/04/2021, 8:55:22,   1.510000E+02
     50447,12/04/2021, 8:55:32,   1.560000E+02
     50448,12/04/2021, 8:55:42,   1.610000E+02
     50449,12/04/2021, 8:55:52,   1.660000E+02
     50450,12/04/2021, 8:56:02,   1.710000E+02
