Record,Date,UTC Time,
     20184,11/23/2021,20:51:03,   9.800000E+01
     20185,11/23/2021,20:51:13,   1.030000E+02
     20186,11/23/2021,20:51:23,   1.080000E+02
     20187,11/23/2021,20:51:33,   1.130000E+02
     20188,11/23/2021,20:51:43,   1.180000E+02
     20189,11/23/2021,20:51:53,   1.230000E+02
     20190,11/23/2021,20:52:03,   1.280000E+02
     20191,11/23/2021,20:52:13,   1.330000E+02
     20192,11/23/2021,20:52:23,   1.380000E+02
     20193,11/23/2021,20:52:33,   1.430000E+02
     20194,11/23/2021,20:52:43,   1.480000E+02
     20195,11/23/2021,20:52:53,   1.530000E+02
     20196,11/23/2021,20:53:03,   1.580000E+02
     20197,11/23/2021,20:53:13,   1.630000E+02
     20198,11/23/2021,20:53:23,   1.680000E+02
     20199,11/23/2021,20:53:33,   1.730000E+02
     20200,11/23/2021,20:53:43,   1.780000E+02
     20201,11/23/2021,20:53:53,   1.830000E+02
     20202,11/23/2021,20:54:03,   1.880000E+02
     20203,11/23/2021,20:54:13,   1.930000E+02
     20204,11/23/2021,20:54:23,   1.980000E+02
     20205,11/23/2021,20:54:33,   2.000000E+00
     20206,11/23/2021,20:54:43,   7.000000E+00
     20207,11/23/2021,20:54:53,   1.200000E+01
     20208,11/23/2021,20:55:03,   1.700000E+01
     20209,11/23/2021,20:55:13,   2.200000E+01
     20210,11/23/2021,20:55:23,   2.700000E+01
     20211,11/23/2021,20:55:33,   3.200000E+01
     20212,11/23/2021,20:55:43,   3.700000E+01
     20213,11/23/2021,20:55:53,   4.200000E+01
     20214,11/23/2021,20:56:03,   4.700000E+01
     20215,11/23/2021,20:56:13,   5.200000E+01
     20216,11/23/2021,20:56:23,   5.700000E+01
     20217,11/23/2021,20:56:33,   6.200000E+01
     20218,11/23/2021,20:56:43,   6.700000E+01
     20219,11/23/2021,20:56:53,   7.200000E+01
     20220,11/23/2021,20:57:03,   7.700000E+01
     20221,11/23/2021,20:57:13,   8.200000E+01
     20222,11/23/2021,20:57:23,   8.700000E+01
     20223,11/23/2021,20:57:33,   9.200000E+01
     20224,11/23/2021,20:57:43,   9.700000E+01
     20225,11/23/2021,20:57:53,   1.020000E+02
     20226,11/23/2021,20:58:03,   1.070000E+02
     20227,11/23/2021,20:58:13,   1.120000E+02
     20228,11/23/2021,20:58:23,   1.170000E+02
     20229,11/23/2021,20:58:33,   1.220000E+02
     20230,11/23/2021,20:58:43,   1.270000E+02
     20231,11/23/2021,20:58:53,   1.320000E+02
     20232,11/23/2021,20:59:03,   1.370000E+02
     20233,11/23/2021,20:59:13,   1.420000E+02
     20234,11/23/2021,20:59:23,   1.470000E+02
     20235,11/23/2021,20:59:33,   1.520000E+02
     20236,11/23/2021,20:59:43,   1.570000E+02
     20237,11/23/2021,20:59:53,   1.620000E+02
     20238,11/23/2021,21:00:03,   1.670000E+02
     20239,11/23/2021,21:00:13,   1.720000E+02
     20240,11/23/2021,21:00:23,   1.770000E+02
     20241,11/23/2021,21:00:33,   1.820000E+02
     20242,11/23/2021,21:00:43,   1.870000E+02
     20243,11/23/2021,21:00:53,   1.920000E+02
     20244,11/23/2021,21:01:03,   1.970000E+02
     20245,11/23/2021,21:01:13,   1.000000E+00
     20246,11/23/2021,21:01:23,   6.000000E+00
     20247,11/23/2021,21:01:33,   1.100000E+01
     20248,11/23/2021,21:01:43,   1.600000E+01
     20249,11/23/2021,21:01:53,   2.100000E+01
     20250,11/23/2021,21:02:03,   2.600000E+01
     20251,11/23/2021,21:02:13,   3.100000E+01
     20252,11/23/2021,21:02:23,   3.600000E+01
     20253,11/23/2021,21:02:33,   4.100000E+01
     20254,11/23/2021,21:02:43,   4.600000E+01
     20255,11/23/2021,21:02:53,   5.100000E+01
     20256,11/23/2021,21:03:03,   5.600000E+01
     20257,11/23/2021,21:03:13,   6.100000E+01
     20258,11/23/2021,21:03:23,   6.600000E+01
     20259,11/23/2021,21:03:33,   7.100000E+01
     20260,11/23/2021,21:03:43,   7.600000E+01
     20261,11/23/2021,21:03:53,   8.100000E+01
     20262,11/23/2021,21:04:03,   8.600000E+01
     20263,11/23/2021,21:04:13,   9.100000E+01
     20264,11/23/2021,21:04:23,   9.600000E+01
     20265,11/23/2021,21:04:33,   1.010000E+02
     20266,11/23/2021,21:04:43,   1.060000E+02
     20267,11/23/2021,21:04:53,   1.110000E+02
     20268,11/23/2021,21:05:03,   1.160000E+02
     20269,11/23/2021,21:05:13,   1.210000E+02
     20270,11/23/2021,21:05:23,   1.260000E+02
     20271,11/23/2021,21:05:33,   1.310000E+02
     20272,11/23/2021,21:05:43,   1.360000E+02
     20273,11/23/2021,21:05:53,   1.410000E+02
     20274,11/23/2021,21:06:03,   1.460000E+02
     20275,11/23/2021,21:06:13,   1.510000E+02
     20276,11/23/2021,21:06:23,   1.560000E+02
     20277,11/23/2021,21:06:33,   1.610000E+02
     20278,11/23/2021,21:06:43,   1.660000E+02
     20279,11/23/2021,21:06:53,   1.710000E+02
     20280,11/23/2021,21:07:03,   1.760000E+02
     20281,11/23/2021,21:07:13,   1.810000E+02
     20282,11/23/2021,21:07:23,   1.860000E+02
     20283,11/23/2021,21:07:33,   1.910000E+02
     20284,11/23/2021,21:07:43,   1.960000E+02
     20285,11/23/2021,21:07:53,   0.000000E+00
     20286,11/23/2021,21:08:03,   5.000000E+00
     20287,11/23/2021,21:08:13,   1.000000E+01
     20288,11/23/2021,21:08:23,   1.500000E+01
     20289,11/23/2021,21:08:33,   2.000000E+01
     20290,11/23/2021,21:08:43,   2.500000E+01
     20291,11/23/2021,21:08:53,   3.000000E+01
     20292,11/23/2021,21:09:03,   3.500000E+01
     20293,11/23/2021,21:09:13,   4.000000E+01
     20294,11/23/2021,21:09:23,   4.500000E+01
     20295,11/23/2021,21:09:33,   5.000000E+01
     20296,11/23/2021,21:09:43,   5.500000E+01
     20297,11/23/2021,21:09:53,   6.000000E+01
     20298,11/23/2021,21:10:03,   6.500000E+01
     20299,11/23/2021,21:10:13,   7.000000E+01
     20300,11/23/2021,21:10:23,   7.500000E+01
     20301,11/23/2021,21:10:33,   8.000000E+01
     20302,11/23/2021,21:10:43,   8.500000E+01
     20303,11/23/2021,21:10:53,   9.000000E+01
     20304,11/23/2021,21:11:03,   9.500000E+01
     20305,11/23/2021,21:11:13,   1.000000E+02
     20306,11/23/2021,21:11:23,   1.050000E+02
     20307,11/23/2021,21:11:33,   1.100000E+02
     20308,11/23/2021,21:11:43,   1.150000E+02
     20309,11/23/2021,21:11:53,   1.200000E+02
     20310,11/23/2021,21:12:03,   1.250000E+02
     20311,11/23/2021,21:12:13,   1.300000E+02
     20312,11/23/2021,21:12:23,   1.350000E+02
     20313,11/23/2021,21:12:33,   1.400000E+02
     20314,11/23/2021,21:12:43,   1.450000E+02
     20315,11/23/2021,21:12:53,   1.500000E+02
     20316,11/23/2021,21:13:03,   1.550000E+02
     20317,11/23/2021,21:13:13,   1.600000E+02
     20318,11/23/2021,21:13:23,   1.650000E+02
     20319,11/23/2021,21:13:33,   1.700000E+02
     20320,11/23/2021,21:13:43,   1.750000E+02
     20321,11/23/2021,21:13:53,   1.800000E+02
     20322,11/23/2021,21:14:03,   1.850000E+02
     20323,11/23/2021,21:14:13,   1.900000E+02
     20324,11/23/2021,21:14:23,   1.950000E+02
     20325,11/23/2021,21:14:33,   2.000000E+02
     20326,11/23/2021,21:14:43,   4.000000E+00
     20327,11/23/2021,21:14:53,   9.000000E+00
     20328,11/23/2021,21:15:03,   1.400000E+01
     20329,11/23/2021,21:15:13,   1.900000E+01
     20330,11/23/2021,21:15:23,   2.400000E+01
     20331,11/23/2021,21:15:33,   2.900000E+01
     20332,11/23/2021,21:15:43,   3.400000E+01
     20333,11/23/2021,21:15:53,   3.900000E+01
     20334,11/23/2021,21:16:03,   4.400000E+01
     20335,11/23/2021,21:16:13,   4.900000E+01
     20336,11/23/2021,21:16:23,   5.400000E+01
     20337,11/23/2021,21:16:33,   5.900000E+01
     20338,11/23/2021,21:16:43,   6.400000E+01
     20339,11/23/2021,21:16:53,   6.900000E+01
     20340,11/23/2021,21:17:03,   7.400000E+01
     20341,11/23/2021,21:17:13,   7.900000E+01
     20342,11/23/2021,21:17:23,   8.400000E+01
     20343,11/23/2021,21:17:33,   8.900000E+01
     20344,11/23/2021,21:17:43,   9.400000E+01
     20345,11/23/2021,21:17:53,   9.900000E+01
     20346,11/23/2021,21:18:03,   1.040000E+02
     20347,11/23/2021,21:18:13,   1.090000E+02
     20348,11/23/2021,21:18:23,   1.140000E+02
     20349,11/23/2021,21:18:33,   1.190000E+02
     20350,11/23/2021,21:18:43,   1.240000E+02
     20351,11/23/2021,21:18:53,   1.290000E+02
     20352,11/23/2021,21:19:03,   1.340000E+02
     20353,11/23/2021,21:19:13,   1.390000E+02
     20354,11/23/2021,21:19:23,   1.440000E+02
     20355,11/23/2021,21:19:33,   1.490000E+02
     20356,11/23/2021,21:19:43,   1.540000E+02
     20357,11/23/2021,21:19:53,   1.590000E+02
     20358,11/23/2021,21:20:03,   1.640000E+02
     20359,11/23/2021,21:20:13,   1.690000E+02
     20360,11/23/2021,21:20:23,   1.740000E+02
     20361,11/23/2021,21:20:33,   1.790000E+02
     20362,11/23/2021,21:20:43,   1.840000E+02
     20363,11/23/2021,21:20:53,   1.890000E+02
     20364,11/23/2021,21:21:03,   1.940000E+02
     20365,11/23/2021,21:21:13,   1.990000E+02
     20366,11/23/2021,21:21:23,   3.000000E+00
     20367,11/23/2021,21:21:33,   8.000000E+00
     20368,11/23/2021,21:21:43,   1.300000E+01
     20369,11/23/2021,21:21:53,   1.800000E+01
     20370,11/23/2021,21:22:03,   2.300000E+01
     20371,11/23/2021,21:22:13,   2.800000E+01
     20372,11/23/2021,21:22:23,   3.300000E+01
     20373,11/23/2021,21:22:33,   3.800000E+01
     20374,11/23/2021,21:22:43,   4.300000E+01
     20375,11/23/2021,21:22:53,   4.800000E+01
     20376,11/23/2021,21:23:03,   5.300000E+01
     20377,11/23/2021,21:23:13,   5.800000E+01
     20378,11/23/2021,21:23:23,   6.300000E+01
     20379,11/23/2021,21:23:33,   6.800000E+01
     20380,11/23/2021,21:23:43,   7.300000E+01
     20381,11/23/2021,21:23:53,   7.800000E+01
     20382,11/23/2021,21:24:03,   8.300000E+01
     20383,11/23/2021,21:24:13,   8.800000E+01
     20384,11/23/2021,21:24:23,   9.300000E+01
     20385,11/23/2021,21:24:33,   9.800000E+01
     20386,11/23/2021,21:24:43,   1.030000E+02
     20387,11/23/2021,21:24:53,   1.080000E+02
     20388,11/23/2021,21:25:03,   1.130000E+02
     20389,11/23/2021,21:25:13,   1.180000E+02
     20390,11/23/2021,21:25:23,   1.230000E+02
     20391,11/23/2021,21:25:33,   1.280000E+02
     20392,11/23/2021,21:25:43,   1.330000E+02
     20393,11/23/2021,21:25:53,   1.380000E+02
     20394,11/23/2021,21:26:03,   1.430000E+02
     20395,11/23/2021,21:26:13,   1.480000E+02
     20396,11/23/2021,21:26:23,   1.530000E+02
     20397,11/23/2021,21:26:33,   1.580000E+02
     20398,11/23/2021,21:26:43,   1.630000E+02
     20399,11/23/2021,21:26:53,   1.680000E+02
     20400,11/23/2021,21:27:03,   1.730000E+02
     20401,11/23/2021,21:27:13,   1.780000E+02
     20402,11/23/2021,21:27:23,   1.830000E+02
     20403,11/23/2021,21:27:33,   1.880000E+02
     20404,11/23/2021,21:27:43,   1.930000E+02
     20405,11/23/2021,21:27:53,   1.980000E+02
     20406,11/23/2021,21:28:03,   2.000000E+00
     20407,11/23/2021,21:28:13,   7.000000E+00
     20408,11/23/2021,21:28:23,   1.200000E+01
     20409,11/23/2021,21:28:33,   1.700000E+01
     20410,11/23/2021,21:28:43,   2.200000E+01
     20411,11/23/2021,21:28:53,   2.700000E+01
     20412,11/23/2021,21:29:03,   3.200000E+01
     20413,11/23/2021,21:29:13,   3.700000E+01
     20414,11/23/2021,21:29:23,   4.200000E+01
     20415,11/23/2021,21:29:33,   4.700000E+01
     20416,11/23/2021,21:29:43,   5.200000E+01
     20417,11/23/2021,21:29:53,   5.700000E+01
     20418,11/23/2021,21:30:03,   6.200000E+01
     20419,11/23/2021,21:30:13,   6.700000E+01
     20420,11/23/2021,21:30:23,   7.200000E+01
     20421,11/23/2021,21:30:33,   7.700000E+01
     20422,11/23/2021,21:30:43,   8.200000E+01
     20423,11/23/2021,21:30:53,   8.700000E+01
     20424,11/23/2021,21:31:03,   9.200000E+01
     20425,11/23/2021,21:31:13,   9.700000E+01
     20426,11/23/2021,21:31:23,   1.020000E+02
     20427,11/23/2021,21:31:33,   1.070000E+02
     20428,11/23/2021,21:31:43,   1.120000E+02
     20429,11/23/2021,21:31:53,   1.170000E+02
     20430,11/23/2021,21:32:03,   1.220000E+02
     20431,11/23/2021,21:32:13,   1.270000E+02
     20432,11/23/2021,21:32:23,   1.320000E+02
     20433,11/23/2021,21:32:33,   1.370000E+02
     20434,11/23/2021,21:32:43,   1.420000E+02
     20435,11/23/2021,21:32:53,   1.470000E+02
     20436,11/23/2021,21:33:03,   1.520000E+02
     20437,11/23/2021,21:33:13,   1.570000E+02
     20438,11/23/2021,21:33:23,   1.620000E+02
     20439,11/23/2021,21:33:33,   1.670000E+02
     20440,11/23/2021,21:33:43,   1.720000E+02
     20441,11/23/2021,21:33:53,   1.770000E+02
     20442,11/23/2021,21:34:03,   1.820000E+02
     20443,11/23/2021,21:34:13,   1.870000E+02
     20444,11/23/2021,21:34:23,   1.920000E+02
     20445,11/23/2021,21:34:33,   1.970000E+02
     20446,11/23/2021,21:34:43,   1.000000E+00
     20447,11/23/2021,21:34:53,   6.000000E+00
     20448,11/23/2021,21:35:03,   1.100000E+01
     20449,11/23/2021,21:35:13,   1.600000E+01
     20450,11/23/2021,21:35:23,   2.100000E+01
     20451,11/23/2021,21:35:33,   2.600000E+01
     20452,11/23/2021,21:35:43,   3.100000E+01
     20453,11/23/2021,21:35:53,   3.600000E+01
     20454,11/23/2021,21:36:03,   4.100000E+01
     20455,11/23/2021,21:36:13,   4.600000E+01
     20456,11/23/2021,21:36:23,   5.100000E+01
     20457,11/23/2021,21:36:33,   5.600000E+01
     20458,11/23/2021,21:36:43,   6.100000E+01
     20459,11/23/2021,21:36:53,   6.600000E+01
     20460,11/23/2021,21:37:03,   7.100000E+01
     20461,11/23/2021,21:37:13,   7.600000E+01
     20462,11/23/2021,21:37:23,   8.100000E+01
     20463,11/23/2021,21:37:33,   8.600000E+01
     20464,11/23/2021,21:37:43,   9.100000E+01
     20465,11/23/2021,21:37:53,   9.600000E+01
     20466,11/23/2021,21:38:03,   1.010000E+02
     20467,11/23/2021,21:38:13,   1.060000E+02
     20468,11/23/2021,21:38:23,   1.110000E+02
     20469,11/23/2021,21:38:33,   1.160000E+02
     20470,11/23/2021,21:38:43,   1.210000E+02
     20471,11/23/2021,21:38:53,   1.260000E+02
     20472,11/23/2021,21:39:03,   1.310000E+02
     20473,11/23/2021,21:39:13,   1.360000E+02
     20474,11/23/2021,21:39:23,   1.410000E+02
     20475,11/23/2021,21:39:33,   1.460000E+02
     20476,11/23/2021,21:39:43,   1.510000E+02
     20477,11/23/2021,21:39:53,   1.560000E+02
     20478,11/23/2021,21:40:03,   1.610000E+02
